,RT_SubSet,Concert,Last_RT_created_at,Last_RT_id,Last_RT_url,OriTwt_id,language,LastRT_user_followers_count,Last_RT_user_friends_count,Last_RT_user_statuses_count,Last_RT_user_favorites_count,Ori_Twt_user_friends_count,Ori_Twt_user_statuses_count,Ori_Twt_user_followers_count,Last_RT_retweet_count,Last_RT_favorite_count,Last_RT_reply_count,Shout,Tweet Length,Tweet link/media,Lost,Unrelated,Affection,Intensifiers,Self,Members,recording,Stills,Production,Music,Commentary,Army,Anticipation,Fanwork,Information,Stream,Spam,Commercial
67,Top200RTd,PTD_ON1,2021-10-24 12:30:02+00:00,1635078602000000000,https://twitter.com/anyuser/status/1452251034194255876,1452216882270965760,en,798,940,82051,169567,135,30933,1825221,8723,21674,82,False,58,True,,,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
68,Top200RTd,PTD_ON1,2021-10-24 12:41:40+00:00,1635079300000000000,https://twitter.com/anyuser/status/1452253959406579713,1452242005699010560,en,550,913,101623,115045,203,27949,1141895,8641,21920,131,False,324,True,,,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False
69,Top200RTd,PTD_ON1,2021-10-24 12:47:59+00:00,1635079679000000000,https://twitter.com/anyuser/status/1452255550712922120,1452216952357900288,und,182,295,102405,114023,298,3915,18081,8626,23645,68,False,54,True,,,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False
70,Top200RTd,PTD_ON1,2021-10-24 12:45:10+00:00,1635079510000000000,https://twitter.com/anyuser/status/1452254843456798728,1452227118792912896,en,219,243,223280,244041,336,30209,553429,8583,26537,79,False,60,True,,,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False
71,Top200RTd,PTD_ON1,2021-10-24 12:59:59+00:00,1635080399000000000,https://twitter.com/anyuser/status/1452258571161243651,1452222552005390336,und,373,830,30408,128297,4281,509,8181,8577,25201,46,False,49,True,,,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
72,Top200RTd,PTD_ON1,2021-10-24 12:56:54+00:00,1635080214000000000,https://twitter.com/anyuser/status/1452257792400711682,1452223486768865280,und,630,1106,55427,111747,35,3426,134974,8444,26998,55,False,42,True,,,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
73,Top200RTd,PTD_ON1,2021-10-24 11:40:20+00:00,1635075620000000000,https://twitter.com/anyuser/status/1452238526377078785,1452212260915531776,th,48,399,23314,6278,62,49205,263389,8442,6354,18,False,237,True,,,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False
74,Top200RTd,PTD_ON1,2021-10-24 12:38:06+00:00,1635079086000000000,https://twitter.com/anyuser/status/1452253062052020231,1452210809417916416,en,411,619,10242,66681,336,30207,553400,8437,19784,26,False,60,True,,,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
75,Top200RTd,PTD_ON1,2021-10-24 12:56:38+00:00,1635080198000000000,https://twitter.com/anyuser/status/1452257725589737480,1452229967295569920,en,630,1106,55425,111739,42,23509,213164,8348,21759,264,False,159,False,,,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False
76,Top200RTd,PTD_ON1,2021-10-24 12:51:55+00:00,1635079915000000000,https://twitter.com/anyuser/status/1452256541088927757,1452212612972826624,en,1209,2057,66963,101022,62,9927,148104,8297,18556,50,False,63,True,,,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False
77,Top200RTd,PTD_ON1,2021-10-24 12:59:18+00:00,1635080358000000000,https://twitter.com/anyuser/status/1452258396569174019,1452228992526737408,ko,22,152,48206,60839,2,164,15879,8245,19930,31,False,74,True,,,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False
78,Top200RTd,PTD_ON1,2021-10-24 12:57:53+00:00,1635080273000000000,https://twitter.com/anyuser/status/1452258040032501766,1452219458710380544,en,42,328,132459,6206,135,30935,1825461,8170,26386,60,False,80,True,,,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
79,Top200RTd,PTD_ON1,2021-10-24 12:51:21+00:00,1635079881000000000,https://twitter.com/anyuser/status/1452256397614272517,1452231077427286016,in,542,1111,94030,236002,450,111903,270478,8116,17157,35,False,55,True,,,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
80,Top200RTd,PTD_ON1,2021-10-24 12:44:37+00:00,1635079477000000000,https://twitter.com/anyuser/status/1452254704205852679,1452235945768587264,en,148,781,10618,23635,4,22810,45041,7915,30726,481,True,28,False,,,False,True,False,False,False,False,True,True,True,False,False,False,False,False,False,False
81,Top200RTd,PTD_ON1,2021-10-24 10:16:00+00:00,1635070560000000000,https://twitter.com/anyuser/status/1452217301269364737,1452204606960795648,ko,638,1287,22937,10,9,1491,1434738,7837,18060,613,False,157,True,,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
82,Top200RTd,PTD_ON1,2021-10-24 12:27:16+00:00,1635078436000000000,https://twitter.com/anyuser/status/1452250337641906191,1452217341085892608,en,1442,1639,1996,2369,62,9927,148009,7777,19269,48,False,53,True,,,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False
83,Top200RTd,PTD_ON1,2021-10-24 12:53:24+00:00,1635080004000000000,https://twitter.com/anyuser/status/1452256911693389824,1452219591929778176,und,438,2373,153716,9333,183,10789,49189,7751,20026,24,False,39,True,,,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False
84,Top200RTd,PTD_ON1,2021-10-24 12:44:30+00:00,1635079470000000000,https://twitter.com/anyuser/status/1452254673327493123,1452216244682252288,fr,3138,4997,37275,26752,51,12003,1898425,7697,17653,92,False,64,True,,,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
85,Top200RTd,PTD_ON1,2021-10-24 12:58:34+00:00,1635080314000000000,https://twitter.com/anyuser/status/1452258214154756096,1452246034952953856,en,944,980,51345,48205,6940,19711,140139,7667,22223,152,False,87,True,,,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False
